Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-02-27,404.3926086425781,405.2262404801438,400.7901076502163,404.89872387010075,14835800,MSFT,Information Technology
2024-02-28,404.6307678222656,406.1987830728558,402.24895832016676,405.0872739909664,13183100,MSFT,Information Technology
2024-02-29,410.5059509277344,411.06170550216336,402.84444253870316,405.5438348800808,31947300,MSFT,Information Technology
2024-03-01,412.3518371582031,412.71902889421233,407.76684684717014,408.153876143975,17800300,MSFT,Information Technology
2024-03-04,411.7762756347656,414.18785690698894,409.1959690810067,410.30747829521556,17596000,MSFT,Information Technology
2024-03-05,399.5991516113281,411.1112655264292,397.604401792749,410.8234543498056,26919200,MSFT,Information Technology
2024-03-06,399.0434265136719,402.09017289690905,395.37147897743796,399.9167637441042,22344100,MSFT,Information Technology
2024-03-07,406.0400695800781,406.6752047214003,399.1923248157397,403.04293193355477,18718500,MSFT,Information Technology
2024-03-08,403.14215087890625,407.3103404061873,401.2664565057241,404.8689575439801,17971700,MSFT,Information Technology
2024-03-11,401.45501708984375,402.6062316222378,398.21973809181884,400.70079606171487,16120800,MSFT,Information Technology
2024-03-12,412.13348388671875,412.4212950799544,403.70782104780903,404.5315189350478,22457000,MSFT,Information Technology
2024-03-13,411.95489501953125,415.0115452878592,408.3325562328795,414.9321647542621,17115900,MSFT,Information Technology
2024-03-14,421.9981994628906,424.5785058716351,414.8229687362819,417.05592096351893,34157300,MSFT,Information Technology
2024-03-15,413.264892578125,419.39806083838096,409.6623914264508,416.1131423873529,45049800,MSFT,Information Technology
2024-03-18,414.1580505371094,417.54221722990445,410.6448639845401,411.111304092611,20106000,MSFT,Information Technology
2024-03-19,418.2170715332031,418.4751112612702,412.40145573236146,414.6641794557911,19837900,MSFT,Information Technology
2024-03-20,422.00811767578125,422.7325672103819,417.472736496582,418.8025799169323,17860100,MSFT,Information Technology
2024-03-21,426.1167297363281,427.55575544088225,423.9234830206928,426.5732359122919,21296200,MSFT,Information Technology
2024-03-22,425.49151611328125,426.6030252593982,422.8417631107263,426.44426419825527,17636500,MSFT,Information Technology
2024-03-25,419.65606689453125,424.1716107025241,418.41553787360243,422.0180389961963,18060500,MSFT,Information Technology
2024-03-26,418.4552307128906,422.76234370981615,418.1575158713517,422.3852180529654,16725600,MSFT,Information Technology
2024-03-27,418.23687744140625,421.2340147133464,415.83523039825434,421.2240807902947,16705000,MSFT,Information Technology
2024-03-28,417.53228759765625,418.6735682140503,415.94440442920035,417.7704594727013,21871200,MSFT,Information Technology
2024-04-01,421.3531188964844,424.64797113919235,419.0209183546172,420.7378213676411,16316000,MSFT,Information Technology
2024-04-02,418.2468566894531,419.17973696688534,414.6741269340057,416.9269168072685,17912000,MSFT,Information Technology
2024-04-03,417.26434326171875,420.0530500088036,415.91463197146663,416.54979735190346,16502300,MSFT,Information Technology
2024-04-04,414.71380615234375,425.4220608182633,414.4061573873391,421.76992047315406,19370900,MSFT,Information Technology
2024-04-05,422.2959289550781,423.2784485638512,415.1504997519638,416.8276974614869,16544300,MSFT,Information Technology
2024-04-08,421.3729553222656,424.0425761054586,420.09272093696904,421.9485777283347,14272400,MSFT,Information Technology
2024-04-09,423.0501403808594,424.49906970382636,418.42544485426635,423.2089317196758,12512300,MSFT,Information Technology
2024-04-10,420.0530700683594,420.81722505973426,416.5200457584293,418.99116993330387,16216600,MSFT,Information Technology
2024-04-11,424.68768310546875,426.11677503866815,419.1598782170762,422.59368454103424,17966400,MSFT,Information Technology
2024-04-12,418.703369140625,421.9585162359949,416.58950274190113,420.8370731015467,19232100,MSFT,Information Technology
2024-04-15,410.5059509277344,423.5860815606245,410.2975202475589,423.36774724307367,20273500,MSFT,Information Technology
2024-04-16,411.4388122558594,415.2298762897989,410.59527673352017,411.4289086182102,16765600,MSFT,Information Technology
2024-04-17,408.7195739746094,415.70624190109544,407.22100522560083,414.0885872118868,15855500,MSFT,Information Technology
2024-04-18,401.2069091796875,408.76919927263555,400.88935677884103,407.5187363707615,21029900,MSFT,Information Technology
2024-04-19,396.095947265625,402.4077746386735,394.7561698730406,400.9687488676842,30276500,MSFT,Information Technology
2024-04-22,397.9219970703125,399.7976914523607,392.7514806878664,397.04865981007964,20286900,MSFT,Information Technology
2024-04-23,404.48193359375,405.10716505974153,400.0060952402287,401.1771473553241,15734500,MSFT,Information Technology
2024-04-24,405.9606018066406,409.3447683032301,403.69787828909796,406.4568133700171,15065300,MSFT,Information Technology
2024-04-25,396.01654052734375,396.8601062584313,385.0899520019121,391.0444908759172,40586500,MSFT,Information Technology
2024-04-26,403.24139404296875,409.87077362119237,402.6856394846956,409.0470757072221,29694700,MSFT,Information Technology
2024-04-29,399.20220947265625,403.2413789354232,396.165397076456,402.17947890315463,19582100,MSFT,Information Technology
2024-04-30,386.3800964355469,399.11290256766176,386.221335381575,398.4479657229549,28781400,MSFT,Information Technology
2024-05-01,391.9476013183594,398.67622906449674,387.3526772876393,389.63523841829954,23562500,MSFT,Information Technology
2024-05-02,394.8256530761719,396.89981398666424,391.6598205584853,394.64702416400013,17709400,MSFT,Information Technology
2024-05-03,403.57879638671875,404.0650740320478,398.8151471589616,399.23197820235123,17446700,MSFT,Information Technology
