Date,Close,High,Low,Open,Volume,Ticker,Industry
2024-04-09,136.182861328125,138.98571426356625,134.82631861823262,138.34734211891057,1184800,JBL,Information Technology
2024-04-10,136.01329040527344,137.16036031658692,132.97104231962615,133.54956943263383,1002900,JBL,Information Technology
2024-04-11,137.6690673828125,137.9184317197224,136.05317613004232,136.64168753234304,794100,JBL,Information Technology
2024-04-12,133.72914123535156,137.42970022822382,133.36007159169998,136.12303327095648,1011400,JBL,Information Technology
2024-04-15,132.32269287109375,136.0531735394389,132.0234526285015,135.31506485703443,801300,JBL,Information Technology
2024-04-16,131.7042694091797,132.6219436178099,130.068439869435,131.50478097164833,802500,JBL,Information Technology
2024-04-17,129.32034301757812,132.45235857685793,128.79169182464176,132.45235857685793,667500,JBL,Information Technology
2024-04-18,129.26051330566406,131.76414136242366,128.7817379689903,129.70936613504531,662500,JBL,Information Technology
2024-04-19,118.44807434082031,127.2855481172804,117.26109751854288,126.54743172166084,3268600,JBL,Information Technology
2024-04-22,118.82709503173828,120.95168412317945,116.56287012578463,120.5128004404412,2033000,JBL,Information Technology
2024-04-23,120.58263397216797,121.16116113612165,119.05652524759785,120.13378115082263,1892000,JBL,Information Technology
2024-04-24,119.93428039550781,123.53510236092734,119.4954042969223,122.43790069946905,1361200,JBL,Information Technology
2024-04-25,118.17876434326172,119.9043615040228,117.69998140946878,119.07646997787906,2165800,JBL,Information Technology
2024-04-26,117.96928405761719,119.61509029949401,117.22119100312736,118.66750880780535,1940100,JBL,Information Technology
2024-04-29,119.56522369384766,119.67494461886464,116.92196000843171,117.92939413358947,1619200,JBL,Information Technology
2024-04-30,117.06160736083984,121.32074733922406,117.01173144416231,118.42812681184189,1279500,JBL,Information Technology
2024-05-01,114.08917236328125,116.42322658923885,112.16407931584455,115.93447460392989,1664000,JBL,Information Technology
2024-05-02,114.9669418334961,115.6053139594676,112.77253099172255,115.6053139594676,1273100,JBL,Information Technology
2024-05-03,116.92195892333984,117.10150156170175,115.05671082535756,116.62271865607129,1104000,JBL,Information Technology
2024-05-06,118.6675033569336,119.00663520659319,117.48052666313356,117.99920875201917,1347000,JBL,Information Technology
2024-05-07,117.13142395019531,118.6774859795551,116.87208289281966,118.46801322667731,1346700,JBL,Information Technology
2024-05-08,117.23117065429688,118.1787597797969,116.45315507567337,116.72246523365986,763700,JBL,Information Technology
2024-05-09,117.6301498413086,118.28846775890389,117.00175442769546,117.35086299081387,1230200,JBL,Information Technology
2024-05-10,117.65010070800781,118.95677511481145,116.49305404755155,118.49794561066531,720200,JBL,Information Technology
2024-05-13,117.55035400390625,118.14882692667193,116.01426868247681,118.14882692667193,1338600,JBL,Information Technology
2024-05-14,117.43058013916016,118.6682653633439,116.79177437086109,117.48048231830404,1336900,JBL,Information Technology
2024-05-15,115.25464630126953,118.47861799258861,113.63766490704988,118.47861799258861,2742600,JBL,Information Technology
2024-05-16,115.16481018066406,116.55221718075704,114.35632329123065,115.2845891186105,1527100,JBL,Information Technology
2024-05-17,114.80548095703125,115.81359940948956,114.2066014977602,115.60399197950296,1136700,JBL,Information Technology
2024-05-20,120.78430938720703,123.89848547900402,111.47170871080462,111.76116875282821,3271400,JBL,Information Technology
2024-05-21,117.57032012939453,118.69820991458064,116.33263488726858,117.86975605409494,1730700,JBL,Information Technology
2024-05-22,117.9595947265625,119.08748453626895,116.63207334755023,117.84979926723572,1452500,JBL,Information Technology
2024-05-23,118.56845092773438,120.70445909897218,117.75996405983712,119.846062437802,1095800,JBL,Information Technology
2024-05-24,119.37693786621094,120.66453285872747,118.35884357326303,119.68636487738844,1147400,JBL,Information Technology
2024-05-28,118.54849243164062,120.3052121910393,117.27088083032008,120.3052121910393,993200,JBL,Information Technology
2024-05-29,117.1111831665039,118.06939186732059,116.62209152611376,117.49047173083785,958700,JBL,Information Technology
2024-05-30,118.99765014648438,120.1255399003168,117.23094701768494,117.40063574698019,951600,JBL,Information Technology
2024-05-31,118.6782455444336,119.35697760626941,115.29456871687181,118.63831923312969,2308100,JBL,Information Technology
